CODI_BARRI;CODI_DISTRICTE;NOM_BARRI
1;1;el Raval
2;1;el Barri Gòtic
3;1;la Barceloneta
4;1;Sant Pere, Santa Caterina i la Ribera
5;2;el Fort Pienc
6;2;la Sagrada Família
7;2;la Dreta de Eixample
8;2;l'Antiga Esquerra de l'Eixample
9;2;la Nova Esquerra de l'Eixample
10;2;Sant Antoni
11;3;el Poble-sec
12;3;la Marina del Prat Vermell
13;3;la Marina del Port
14;3;la Font de la Guatlla
15;3;Hostafrancs
16;3;la Bordeta
17;3;Sants - Badal
18;3;Sants
19;4;les Corts
20;4;la Maternitat i Sant Ramon
21;4;Pedralbes
22;5;Vallvidrera, el Tibidabo i les Planes
23;5;Sarrià
24;5;les Tres Torres
25;5;Sant Gervasi - la Bonanova
26;5;Sant Gervasi - Galvany
27;5;el Putxet i el Farró
28;6;Vallcarca i els Penitents
29;6;el Coll
30;6;la Salut
31;6;la Vila de Gràcia
32;6;el Camp d'en Grassot i Gràcia Nova
33;7;el Baix Guinardó
34;7;Can Baró
35;7;el Guinardó
36;7;la Font d'en Fargues
37;7;el Carmel
38;7;la Teixonera
39;7;Sant Genís dels Agudells
40;7;Montbau
41;7;la Vall d'Hebron
42;7;la Clota
43;7;Horta
44;8;Vilapicina i la Torre Llobeta
45;8;Porta
46;8;el Turó de la Peira
47;8;Can Peguera
48;8;la Guineueta
49;8;Canyelles
50;8;les Roquetes
51;8;Verdun
52;8;la Prosperitat
53;8;la Trinitat Nova
54;8;Tirre Baró
55;8;Ciutat Meridiana
56;8;Vallbona
57;9;la Trinitat Vella
58;9;Baró de Viver
59;9;el Bon Pastor
60;9;Sant Andreu de Palomar
61;9;la Sagrera
62;9;el Congrés i els Indians
63;9;Navas
64;10;el Camp de l'Arpa del Clot
65;10;el Clot
66;10;el Parc i la Llacuna del Poblenou
67;10;la Vila Olímpica del Poblenou
68;10;el Poblenou
69;10;Diagonal Mar i el Front Marítim del Poblenou
70;10;el Besòs i el Maresme
71;10;Provençals del Poblenou
72;10;Sant Martí de Provençals
73;10;la Verneda i la Pau
